@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R6-7'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}

@data
263.3,34.1483,-118.1447,1,Low
263.3,34.1483,-118.1447,2,High
263.3,34.1483,-118.1447,3,High
263.3,34.1483,-118.1447,4,Medium
263.3,34.1483,-118.1447,5,None
263.3,34.1483,-118.1447,6,Low
263.3,34.1483,-118.1447,7,None
156.4,36.3817,-119.0264,1,High
156.4,36.3817,-119.0264,2,High
156.4,36.3817,-119.0264,3,High
156.4,36.3817,-119.0264,4,Medium
156.4,36.3817,-119.0264,5,Medium
156.4,36.3817,-119.0264,6,Medium
156.4,36.3817,-119.0264,7,None
156.4,36.3817,-119.0264,8,None
156.4,36.3817,-119.0264,9,Low
156.4,36.3817,-119.0264,10,Medium
156.4,36.3817,-119.0264,11,Medium
156.4,36.3817,-119.0264,12,Low
156.4,36.3817,-119.0264,1,High
156.4,36.3817,-119.0264,2,Medium
156.4,36.3817,-119.0264,3,High
156.4,36.3817,-119.0264,4,High
156.4,36.3817,-119.0264,5,Low
156.4,36.3817,-119.0264,6,None
156.4,36.3817,-119.0264,7,None
156.4,36.3817,-119.0264,8,None
156.4,36.3817,-119.0264,9,None
156.4,36.3817,-119.0264,10,Low
156.4,36.3817,-119.0264,11,Medium
156.4,36.3817,-119.0264,12,High
156.4,36.3817,-119.0264,1,Medium
156.4,36.3817,-119.0264,2,Medium
156.4,36.3817,-119.0264,3,Medium
156.4,36.3817,-119.0264,4,Low
156.4,36.3817,-119.0264,5,Medium
156.4,36.3817,-119.0264,6,None
156.4,36.3817,-119.0264,7,Low
156.4,36.3817,-119.0264,8,Low
156.4,36.3817,-119.0264,9,None
156.4,36.3817,-119.0264,10,Low
156.4,36.3817,-119.0264,11,Medium
156.4,36.3817,-119.0264,12,Low
156.4,36.3817,-119.0264,1,Medium
156.4,36.3817,-119.0264,2,High
156.4,36.3817,-119.0264,3,High
156.4,36.3817,-119.0264,4,High
156.4,36.3817,-119.0264,5,Low
156.4,36.3817,-119.0264,6,None
156.4,36.3817,-119.0264,7,None
823,33.2372,-116.7614,1,High
823,33.2372,-116.7614,2,High
823,33.2372,-116.7614,3,High
823,33.2372,-116.7614,4,Medium
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,Low
823,33.2372,-116.7614,7,Low
823,33.2372,-116.7614,8,Low
823,33.2372,-116.7614,9,Low
823,33.2372,-116.7614,10,High
823,33.2372,-116.7614,11,High
823,33.2372,-116.7614,12,Medium
823,33.2372,-116.7614,1,Medium
823,33.2372,-116.7614,2,High
823,33.2372,-116.7614,3,High
823,33.2372,-116.7614,4,High
823,33.2372,-116.7614,5,Low
823,33.2372,-116.7614,6,None
823,33.2372,-116.7614,7,Medium
823,33.2372,-116.7614,8,Low
823,33.2372,-116.7614,9,Low
823,33.2372,-116.7614,10,Low
823,33.2372,-116.7614,11,Medium
823,33.2372,-116.7614,12,High
823,33.2372,-116.7614,1,High
823,33.2372,-116.7614,2,High
823,33.2372,-116.7614,3,High
823,33.2372,-116.7614,4,Low
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,None
823,33.2372,-116.7614,7,Medium
823,33.2372,-116.7614,8,None
823,33.2372,-116.7614,9,Medium
823,33.2372,-116.7614,10,High
823,33.2372,-116.7614,11,Medium
823,33.2372,-116.7614,12,Medium
823,33.2372,-116.7614,1,Low
823,33.2372,-116.7614,2,High
823,33.2372,-116.7614,3,High
823,33.2372,-116.7614,4,High
823,33.2372,-116.7614,5,Low
823,33.2372,-116.7614,6,None
823,33.2372,-116.7614,7,Low
118,41.8452,-123.9647,1,High
118,41.8452,-123.9647,2,High
118,41.8452,-123.9647,3,High
118,41.8452,-123.9647,4,High
118,41.8452,-123.9647,5,High
118,41.8452,-123.9647,6,High
118,41.8452,-123.9647,7,Medium
118,41.8452,-123.9647,8,None
118,41.8452,-123.9647,9,High
118,41.8452,-123.9647,10,High
118,41.8452,-123.9647,11,High
118,41.8452,-123.9647,12,High
118,41.8452,-123.9647,1,High
118,41.8452,-123.9647,2,High
