@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}
@attribute TSNW_CLASS {Low,High}
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
82.0,35.4047,-119.4731,9,None,Low,High
82.0,35.4047,-119.4731,10,Low,Low,High
82.0,35.4047,-119.4731,11,Medium,Low,Medium
82.0,35.4047,-119.4731,12,None,Low,Low
82.0,35.4047,-119.4731,1,Low,Low,Low
82.0,35.4047,-119.4731,2,Medium,Low,Medium
82.0,35.4047,-119.4731,3,Medium,Low,Medium
82.0,35.4047,-119.4731,4,High,Low,Medium
82.0,35.4047,-119.4731,5,None,Low,High
82.0,35.4047,-119.4731,6,None,Low,High
82.0,35.4047,-119.4731,7,Low,Low,High
82.0,35.4047,-119.4731,8,None,Low,Medium
82.0,35.4047,-119.4731,9,None,Low,High
82.0,35.4047,-119.4731,10,None,Low,High
82.0,35.4047,-119.4731,11,Low,Low,Medium
82.0,35.4047,-119.4731,12,Medium,Low,Low
82.0,35.4047,-119.4731,1,Low,Low,Low
82.0,35.4047,-119.4731,2,Low,Low,Low
82.0,35.4047,-119.4731,3,Medium,Low,Medium
82.0,35.4047,-119.4731,4,Medium,Low,High
82.0,35.4047,-119.4731,5,None,Low,High
82.0,35.4047,-119.4731,6,None,Low,High
82.0,35.4047,-119.4731,7,None,Low,High
82.0,35.4047,-119.4731,8,None,Low,High
82.0,35.4047,-119.4731,9,None,Low,High
82.0,35.4047,-119.4731,10,Low,Low,Low
82.0,35.4047,-119.4731,11,Medium,Low,Medium
82.0,35.4047,-119.4731,12,Low,Low,Low
82.0,35.4047,-119.4731,1,None,Low,Low
82.0,35.4047,-119.4731,2,Medium,Low,Medium
82.0,35.4047,-119.4731,3,Medium,Low,Medium
82.0,35.4047,-119.4731,4,Low,Low,Medium
82.0,35.4047,-119.4731,5,None,Low,High
68.6,35.4028,-119.47,6,None,Low,High
68.6,35.4028,-119.47,7,None,Low,High
222.5,35.6277,-120.6855,1,High,Low,Low
222.5,35.6277,-120.6855,2,High,Low,Low
222.5,35.6277,-120.6855,3,High,Low,Low
222.5,35.6277,-120.6855,4,Low,Low,Medium
222.5,35.6277,-120.6855,5,Medium,Low,Medium
222.5,35.6277,-120.6855,6,Medium,Low,Medium
222.5,35.6277,-120.6855,7,None,Low,High
222.5,35.6277,-120.6855,8,None,Low,High
222.5,35.6277,-120.6855,9,Low,Low,High
222.5,35.6277,-120.6855,10,Medium,Low,Medium
222.5,35.6277,-120.6855,11,High,Low,Low
222.5,35.6277,-120.6855,12,Low,Low,Low
222.5,35.6277,-120.6855,1,High,Low,Low
222.5,35.6277,-120.6855,2,Low,Low,Low
222.5,35.6277,-120.6855,3,High,Low,Low
222.5,35.6277,-120.6855,4,High,Low,Medium
222.5,35.6277,-120.6855,5,Low,Low,Medium
222.5,35.6277,-120.6855,6,None,Low,High
222.5,35.6277,-120.6855,7,None,Low,High
222.5,35.6277,-120.6855,8,None,Low,High
222.5,35.6277,-120.6855,9,None,Low,High
222.5,35.6277,-120.6855,10,Low,Low,Medium
222.5,35.6277,-120.6855,11,Medium,Low,Medium
222.5,35.6277,-120.6855,12,High,Low,Low
222.5,35.6277,-120.6855,1,Medium,Low,Low
222.5,35.6277,-120.6855,2,Low,Low,Low
222.5,35.6277,-120.6855,3,Medium,Low,Medium
222.5,35.6277,-120.6855,4,Low,Low,Medium
222.5,35.6277,-120.6855,5,Low,Low,Medium
222.5,35.6277,-120.6855,6,None,Low,High
222.5,35.6277,-120.6855,7,None,Low,High
222.5,35.6277,-120.6855,8,None,Low,High
222.5,35.6277,-120.6855,9,None,Low,High
222.5,35.6277,-120.6855,10,Low,Low,Medium
222.5,35.6277,-120.6855,11,Low,Low,Medium
222.5,35.6277,-120.6855,12,Low,Low,Low
222.5,35.6277,-120.6855,1,None,Low,Low
222.5,35.6277,-120.6855,2,High,Low,Medium
222.5,35.6277,-120.6855,3,High,Low,Medium
222.5,35.6277,-120.6855,4,Medium,Low,Medium
222.5,35.6277,-120.6855,5,None,Low,High
222.5,35.6277,-120.6855,6,None,Low,High
222.5,35.6277,-120.6855,7,Low,Low,High
256.0,33.9511,-117.388,1,Low,Low,Low
256.0,33.9511,-117.388,2,Medium,Low,Medium
256.0,33.9511,-117.388,3,Medium,Low,Medium
256.0,33.9511,-117.388,4,Low,Low,Medium
256.0,33.9511,-117.388,5,Low,Low,Medium
256.0,33.9511,-117.388,6,None,Low,Medium
256.0,33.9511,-117.388,7,Low,Low,High
256.0,33.9511,-117.388,8,Medium,Low,Medium
256.0,33.9511,-117.388,9,None,Low,Medium
256.0,33.9511,-117.388,10,Medium,Low,High
256.0,33.9511,-117.388,11,Medium,Low,Medium
256.0,33.9511,-117.388,12,Medium,Low,Medium
256.0,33.9511,-117.388,1,Low,Low,Medium
256.0,33.9511,-117.388,2,Medium,Low,Medium
256.0,33.9511,-117.388,3,High,Low,Medium
256.0,33.9511,-117.388,4,Low,Low,Low
256.0,33.9511,-117.388,5,None,Low,High
256.0,33.9511,-117.388,6,None,Low,High
256.0,33.9511,-117.388,7,Low,Low,High
256.0,33.9511,-117.388,8,None,Low,High
256.0,33.9511,-117.388,9,None,Low,High
256.0,33.9511,-117.388,10,Medium,Low,High
256.0,33.9511,-117.388,11,Medium,Low,Medium
256.0,33.9511,-117.388,12,High,Low,Medium
256.0,33.9511,-117.388,1,Medium,Low,Medium
256.0,33.9511,-117.388,2,Medium,Low,Medium
256.0,33.9511,-117.388,3,Medium,Low,Medium
256.0,33.9511,-117.388,4,None,Low,Medium
256.0,33.9511,-117.388,5,Low,Low,High
256.0,33.9511,-117.388,6,None,Low,High
256.0,33.9511,-117.388,7,Low,Low,High
256.0,33.9511,-117.388,8,Medium,Low,High
256.0,33.9511,-117.388,9,None,Low,High
256.0,33.9511,-117.388,10,Medium,Low,High
256.0,33.9511,-117.388,11,Medium,Low,Medium
256.0,33.9511,-117.388,12,Low,Low,Medium
256.0,33.9511,-117.388,1,None,Low,Medium
256.0,33.9511,-117.388,2,Medium,Low,Medium
256.0,33.9511,-117.388,3,Medium,Low,Medium
256.0,33.9511,-117.388,4,Medium,Low,High
256.0,33.9511,-117.388,5,None,Low,High
256.0,33.9511,-117.388,6,None,Low,High
256.0,33.9511,-117.388,7,None,Low,High
1011.9,39.165,-120.8566,1,High,Low,None
1011.9,39.165,-120.8566,2,High,Low,None
1011.9,39.165,-120.8566,3,High,Low,None
1011.9,39.165,-120.8566,4,High,Low,None
1011.9,39.165,-120.8566,5,High,Low,None
1011.9,39.165,-120.8566,6,High,Low,None
1011.9,39.165,-120.8566,7,None,Low,None
1011.9,39.165,-120.8566,8,None,Low,None
1011.9,39.165,-120.8566,9,Low,Low,None
1011.9,39.165,-120.8566,10,High,Low,None
1011.9,39.165,-120.8566,11,High,High,None
1011.9,39.165,-120.8566,12,Low,Low,None
1011.9,39.165,-120.8566,1,High,Low,None
1011.9,39.165,-120.8566,2,High,Low,None
1011.9,39.165,-120.8566,3,High,Low,None
1011.9,39.165,-120.8566,4,High,Low,None
1011.9,39.165,-120.8566,5,Medium,Low,None
1011.9,39.165,-120.8566,6,High,Low,None
1011.9,39.165,-120.8566,7,None,Low,None
1011.9,39.165,-120.8566,8,None,Low,None
1011.9,39.165,-120.8566,9,Medium,Low,None
1011.9,39.165,-120.8566,10,High,Low,None
1011.9,39.165,-120.8566,11,High,Low,None
1011.9,39.165,-120.8566,12,High,High,None
1011.9,39.165,-120.8566,1,High,High,None
1011.9,39.165,-120.8566,2,Medium,High,None
1011.9,39.165,-120.8566,3,High,Low,None
1011.9,39.165,-120.8566,4,High,Low,None
1011.9,39.165,-120.8566,5,High,Low,None
1011.9,39.165,-120.8566,6,High,Low,None
1011.9,39.165,-120.8566,7,None,Low,None
1011.9,39.165,-120.8566,8,None,Low,None
1011.9,39.165,-120.8566,9,High,Low,None
1011.9,39.165,-120.8566,10,Medium,Low,None
1011.9,39.165,-120.8566,11,High,Low,None
1011.9,39.165,-120.8566,12,Medium,High,None
1011.9,39.165,-120.8566,1,High,Low,None
1011.9,39.165,-120.8566,2,High,Low,None
1011.9,39.165,-120.8566,3,High,Low,None
1011.9,39.165,-120.8566,4,High,High,None
1011.9,39.165,-120.8566,5,Medium,Low,None
1011.9,39.165,-120.8566,6,None,Low,None
1011.9,39.165,-120.8566,7,None,Low,None
263.3,34.1481,-118.1444,1,Medium,Low,Low
263.3,34.1481,-118.1444,2,High,Low,Medium
263.3,34.1481,-118.1444,3,High,Low,Medium
263.3,34.1481,-118.1444,4,None,Low,Medium
263.3,34.1481,-118.1444,5,Medium,Low,Medium
263.3,34.1481,-118.1444,6,Low,Low,High
263.3,34.1481,-118.1444,7,None,Low,High
263.3,34.1481,-118.1444,8,Low,Low,High
263.3,34.1481,-118.1444,9,None,Low,High
263.3,34.1481,-118.1444,10,High,Low,High
263.3,34.1481,-118.1444,11,High,Low,Low
263.3,34.1481,-118.1444,12,Medium,Low,Medium
263.3,34.1481,-118.1444,1,High,Low,Medium
263.3,34.1481,-118.1444,2,Medium,Low,Medium
263.3,34.1481,-118.1444,3,High,Low,Medium
263.3,34.1483,-118.1447,4,High,Low,Medium
263.3,34.1483,-118.1447,5,Low,Low,High
263.3,34.1483,-118.1447,6,None,Low,High
263.3,34.1483,-118.1447,7,Low,Low,High
263.3,34.1483,-118.1447,8,Low,Low,High
