@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
263.3,34.1483,-118.1447,12,Medium
263.3,34.1483,-118.1447,1,Medium
263.3,34.1483,-118.1447,2,Medium
263.3,34.1483,-118.1447,3,Medium
263.3,34.1483,-118.1447,4,High
263.3,34.1483,-118.1447,5,High
263.3,34.1483,-118.1447,6,High
263.3,34.1483,-118.1447,7,High
156.4,36.3817,-119.0264,1,Low
156.4,36.3817,-119.0264,2,Low
156.4,36.3817,-119.0264,3,Medium
156.4,36.3817,-119.0264,4,Medium
156.4,36.3817,-119.0264,5,Medium
156.4,36.3817,-119.0264,6,High
156.4,36.3817,-119.0264,7,High
156.4,36.3817,-119.0264,8,High
156.4,36.3817,-119.0264,9,High
156.4,36.3817,-119.0264,10,High
156.4,36.3817,-119.0264,11,Low
156.4,36.3817,-119.0264,12,Low
156.4,36.3817,-119.0264,1,Low
156.4,36.3817,-119.0264,2,Low
156.4,36.3817,-119.0264,3,Medium
156.4,36.3817,-119.0264,4,Medium
156.4,36.3817,-119.0264,5,High
156.4,36.3817,-119.0264,6,High
156.4,36.3817,-119.0264,7,High
156.4,36.3817,-119.0264,8,High
156.4,36.3817,-119.0264,9,High
156.4,36.3817,-119.0264,10,High
156.4,36.3817,-119.0264,11,Medium
156.4,36.3817,-119.0264,12,Low
156.4,36.3817,-119.0264,1,Low
156.4,36.3817,-119.0264,2,Low
156.4,36.3817,-119.0264,3,Medium
156.4,36.3817,-119.0264,4,Medium
156.4,36.3817,-119.0264,5,High
156.4,36.3817,-119.0264,6,High
156.4,36.3817,-119.0264,7,High
156.4,36.3817,-119.0264,8,High
156.4,36.3817,-119.0264,9,High
156.4,36.3817,-119.0264,10,Medium
